脑室外引流术	External Ventricular Drain
切口起初平行于颞上线向上直行，随后在发际线以内行至中线或对侧瞳中线。	The initial portion of the incision includes a straight line marked perpendicular to the superior temporal line, after which the incision proceeds behind the hairline and extends to the midline or contralateral mid-pupillary line.
颞浅动脉和面神经额支分别位于切口后方和前方。	The superficial temporal artery is posterior and the frontal branch of the facial nerve anterior to the incision.
对于额下径路，无需继续延长发际线内的切口长度（右图）。	Further extension of the incision behind the hairline is not necessary for a subfrontal approach (right image).
下翻皮瓣后暴露关键孔区域是否充分，其预判方法为，将切口两端相连作一直线（图中虚线），关键孔（图中圆圈）距离该直线应在1cm范围之内（右图）。	For reflection of the scalp flap to allow adequate exposure of the keyhole area, a straight line (hashed line) connecting the two ends of the incision should remain within 1cm distance of the keyhole (marked as a circle) (right image).
图8：切口经帽状腱膜直达骨膜层。	Figure 8: The skin is incised through the galea to the level of the pericranium.
Raney夹或双极电凝止血。	Hemostasis is maintained using Raney clips or bipolar electrocautery.
切至颞上线时，将骨膜剥离子置于皮下组织下方，以保护颞浅动脉及颞肌。	When the incision reaches the superior temporal line, a periosteal elevator is introduced under the subcutaneous tissue to protect the superficial temporal artery and the temporalis muscle.
向下，继续用刀片切开头皮（左图）。	The skin is cut with the cutting blade over the periosteal elevator (left image).
探及颞浅动脉后，用剪刀行钝性分离，以暴露额支和顶支。	Once the superficial temporal artery is identified, blunt dissection with scissors is performed until the bifurcation of the frontal and parietal branches is seen.
电凝并离断额支，保留顶支。	The frontal branch needs be coagulated and divided, preserving the parietal branch.
在计划行颅内外血管搭桥时，对颞浅动脉额支或顶支的保护尤为重要（右图）。	Preservation of the frontal or parietal branches is especially important if a bypass is contemplated (right image).
若切口向后扩展而作一更大皮瓣时，则需同时保留颞浅动脉额支以保证有足够的血供促进伤口愈合。	In cases of larger scalp flaps with a more posterior extension of the incision, the frontal branch is preserved to allow optimal vascularization of the flap and enhanced healing.
为减少面神经损伤的风险，切口向下不宜越过颧弓。	To avoid placing the facial nerve at risk, the incision should not extend below the zygoma.
图9：笔者偏向于作单一肌皮瓣，将颞肌连同头皮一起下翻。	Figure 9: I prefer to reflect the scalp flap along with the temporalis muscle in a single myocutaneous layer.
当然也可将皮瓣和肌瓣分开。	Alternatively, the muscle may be dissected in a separate layer.
切开颞肌可使用单极电刀，切开方向一是沿着颞上线，二是沿着头皮切口下部。	The temporalis muscle is incised using monopolar electrocautery in two directions, along the superior temporal line and the inferior aspect of the incision.
随后将颞肌翻向前下方。	The muscle is then reflected anteroinferiorly.
要点是，剥离颞肌时须避免使用单极电刀，以避免颞肌深部的筋膜层（原文为deep temporalis fascia，但需注意此处并非指覆盖颞肌表面的颞深筋膜，而是指位于颞肌深面的真性骨膜层，术语包括subperiosteum、periosteum等；译者注）受损，而导致术后颞肌萎缩，因为支配颞肌的神经及血管即紧贴该筋膜的浅层走行。	It is important to preserve the deep temporalis fascia during this process by avoiding monopolar electrocautery. This fascia contains the neurovascular supply to the muscle. This maneuver may minimize postoperative temporalis muscle atrophy.
将颞肌向下翻开置于颧弓上方，并用鱼钩牵开器固定。	The temporalis muscle is then reflected inferiorly over the zygoma and secured with fishhooks.
需暴露位于关键孔前方的颧骨额突，以实现骨窗向眶顶平面的扩展。	The frontal process of the zygoma just anterior to the keyhole is exposed to allow extension of the craniotomy to the level of the orbital roof.
笔者习惯作一全层肌皮瓣来下翻颞肌，且并不预留肌筋膜带于颞上线处。	I reflect the myocutaneous flap in one layer and do not leave a cuff of muscle behind along the superior temporal line.
需尽可能将肌肉向前下方剥离以显露翼点。	The muscle should be mobilized as anteroinferiorly as possible to reveal the pterion.
为避免术中皮瓣卷曲导致的缺血性损伤，常在鱼钩牵开器固定肌皮瓣后，用一块卷起的纱布垫于其下。	When securing the flap with fish-hook retractors, I place a rolled-up gauze underneath the flap to prevent the kinking of the scalp and its subsequent ischemic damage.
图10：笔者在已暴露的颞上线最后端的下方进行钻孔，随后将硬膜从颅骨内表面剥离。	Figure 10: I place a burr hole just inferior to the most exposed posterior aspect of the superior temporal line and dissect the dura away from the inner aspect of the skull bone.
仅通过该单个骨孔，即可用硬膜剥离子（Penfield3#剥离子）朝向翼点方向，对预计的整个骨窗范围下的硬膜进行剥离。	This single burr hole provides me with enough working space to navigate or “sweep” the dural dissector (#3 Penfield dissector) to mobilize the dura along the entire extent of planned bone flap towards the pterion.
另一种方案是钻两个骨孔，一个位于关键孔，另一个位于颧弓上方。	An alternative option is placement of two burr holes, one along the keyhole and the other above the root of the zygoma.
该方案将造成颞部骨质的缺损，从而引发更多的术后容貌缺损问题。	The latter technique leads to additional bone loss at the temple, potentially causing more postoperative cosmetic deformity.
而上文所述的单骨孔技术，由于将骨孔置于发际线后方的颞肌下，因而减少了上述容貌问题的发生	The single burr hole as illustrated above, will minimize this deformity as the bony defect lies under the muscle behind the hairline.
图11：使用开颅系统，即带底座的B1铣刀进行开颅。	Figure 11: The craniotome or B1 bit with a footplate is then used to create the bone flap.
底座可能会撕裂硬膜，特别是在拐弯处，尤其在额部拐弯时最容易发生。	The footplate of the drill may tear the dura, and is likely to do so as it makes turns, and especially at the turn along the frontal region.
开颅分成两步进行（图中标为步骤1和步骤4）。	There are two osteotomies (marked as steps #1 and #4).
完成步骤1时，在翼点处，笔者将铣刀头旋转180°（步骤2），因为此处有蝶骨大翼外侧端的阻挡而无法继续前行。	After completion of the first bony cut (#1), I turn the drill 180 degrees (step #2) at the pterion where the drill cannot make further progress by reaching the lateral sphenoid wing.
